Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Hyundai Elite i20 SPORTZ 1.2,Elite i20 SPORTZ 1.2,Hyundai,2015,Petrol,"52,696",Manual,₹4.32 Lakh,Mumbai
Maruti New Wagon-R LXI CNG (O) 1.0,New Wagon-R LXI CNG (O) 1.0,Maruti,2021,CNG,"50,418",Manual,₹5.80 Lakh,Mumbai
Maruti S PRESSO VXI PLUS AMT,S PRESSO VXI PLUS AMT,Maruti,2021,Petrol,"27,012",Automatic,₹4.27 Lakh,Mumbai
Maruti S PRESSO VXI+,S PRESSO VXI+,Maruti,2019,Petrol,"8,458",Manual,₹3.83 Lakh,Mumbai
Tata NEXON XZA PLUS PETROL,NEXON XZA PLUS PETROL,Tata,2019,Petrol,"18,798",Automatic,₹8.45 Lakh,Mumbai
Honda City 1.5L I-VTEC VX CVT,City 1.5L I-VTEC VX CVT,Honda,2016,Petrol,"59,039",Automatic,₹6.27 Lakh,Mumbai
Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,Grand i10 ASTA 1.2 KAPPA VTVT,Hyundai,2014,Petrol,"35,272",Manual,₹3.86 Lakh,Mumbai
Hyundai i10 MAGNA 1.2,i10 MAGNA 1.2,Hyundai,2011,Petrol,"32,454",Manual,₹2.11 Lakh,Mumbai
Mahindra XUV300 W6 1.2 PETROL AMT,XUV300 W6 1.2 PETROL AMT,Mahindra,2021,Petrol,"18,255",Automatic,₹8.77 Lakh,Mumbai
Hyundai AURA SX 1.2,AURA SX 1.2,Hyundai,2021,Petrol,"14,950",Manual,₹6.63 Lakh,Mumbai
Hyundai NEW SANTRO SPORTZ CNG,NEW SANTRO SPORTZ CNG,Hyundai,2019,CNG,"77,715",Manual,₹4.96 Lakh,Mumbai
Maruti Swift VDI AMT,Swift VDI AMT,Maruti,2018,Diesel,"57,407",Automatic,₹5.79 Lakh,Mumbai
Skoda Rapid STYLE 1.6 MPI,Rapid STYLE 1.6 MPI,Skoda,2017,Petrol,"58,664",Manual,₹6.22 Lakh,Mumbai
Datsun Go Plus T,Go Plus T,Datsun,2017,Petrol,"17,062",Manual,₹3.02 Lakh,Mumbai
Honda City 1.5L I-VTEC V MT,City 1.5L I-VTEC V MT,Honda,2012,CNG,"86,006",Manual,₹3.32 Lakh,Mumbai
Toyota Glanza G,Glanza G,Toyota,2022,Petrol,"5,052",Manual,₹7.31 Lakh,Mumbai
Hyundai NEW I20 ASTA (O) 1.2 IVT,NEW I20 ASTA (O) 1.2 IVT,Hyundai,2023,Petrol,"2,358",Automatic,₹9.79 Lakh,Mumbai
Maruti Alto 800 LXI CNG,Alto 800 LXI CNG,Maruti,2013,CNG,"66,699",Manual,₹1.92 Lakh,Mumbai
Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,Grand i10 SPORTZ 1.2 KAPPA VTVT,Hyundai,2014,Petrol,"84,045",Manual,₹3.37 Lakh,Mumbai
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2015,Petrol,"33,688",Manual,₹4.75 Lakh,Mumbai
KIA SELTOS HTX 1.5 PETROL,SELTOS HTX 1.5 PETROL,KIA,2019,Petrol,"36,666",Manual,₹11.33 Lakh,Mumbai
Tata NEXON XZ PLUS PETROL,NEXON XZ PLUS PETROL,Tata,2018,CNG,"48,213",Manual,₹6.54 Lakh,Mumbai
Hyundai i20 SPORTZ 1.2,i20 SPORTZ 1.2,Hyundai,2013,Petrol,"37,973",Manual,₹2.78 Lakh,Mumbai
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2017,Petrol,"57,919",Manual,₹4.70 Lakh,Mumbai
Maruti Swift Dzire ZXI,Swift Dzire ZXI,Maruti,2017,Petrol,"34,196",Manual,₹5.19 Lakh,Mumbai
Honda Amaze 1.2L I-VTEC VX,Amaze 1.2L I-VTEC VX,Honda,2018,Petrol,"58,121",Manual,₹5.73 Lakh,Mumbai
MG HECTOR SHARP PRO 1.5 TURBO MT PETROL,HECTOR SHARP PRO 1.5 TURBO MT PETROL,MG,2023,Petrol,"10,349",Manual,₹18.61 Lakh,Mumbai
Mahindra XUV500 W10 AT,XUV500 W10 AT,Mahindra,2017,Diesel,"36,090",Automatic,₹11.10 Lakh,Mumbai
