Name,Model,Company,Year,Fuel Type,KM Driven,Transmission Type,Price,Location
Hyundai Elite i20 ASTA 1.2,Elite i20 ASTA 1.2,Hyundai,2017,Petrol,"35,728",Manual,₹7.30 Lakh,Bangalore
Maruti IGNIS SIGMA 1.2,IGNIS SIGMA 1.2,Maruti,2021,Petrol,"39,945",Manual,₹5.24 Lakh,Bangalore
Maruti Ertiga VXI,Ertiga VXI,Maruti,2013,Petrol,"92,751",Manual,₹6.26 Lakh,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2015,Petrol,"69,474",Manual,₹5.39 Lakh,Bangalore
Hyundai Verna 1.6 VTVT SX,Verna 1.6 VTVT SX,Hyundai,2018,Petrol,"78,703",Manual,₹8.54 Lakh,Bangalore
Maruti Ciaz ALPHA 1.4 PETROL,Ciaz ALPHA 1.4 PETROL,Maruti,2017,Petrol,"43,129",Manual,₹7.06 Lakh,Bangalore
Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,Grand i10 MAGNA 1.2 KAPPA VTVT,Hyundai,2018,Petrol,"26,623",Manual,₹5.15 Lakh,Bangalore
Hyundai NEW SANTRO SPORTZ AMT,NEW SANTRO SPORTZ AMT,Hyundai,2019,Petrol,"52,278",Automatic,₹5.12 Lakh,Bangalore
Hyundai Xcent S (O) 1.2,Xcent S (O) 1.2,Hyundai,2015,Petrol,"71,143",Manual,₹4.53 Lakh,Bangalore
Maruti Baleno ALPHA PETROL 1.2,Baleno ALPHA PETROL 1.2,Maruti,2017,Petrol,"49,591",Manual,₹7.25 Lakh,Bangalore
Hyundai Verna FLUIDIC 1.6 CRDI SX,Verna FLUIDIC 1.6 CRDI SX,Hyundai,2013,Diesel,"1,03,388",Manual,₹4.34 Lakh,Bangalore
Tata TIAGO NRG XZ AMT,TIAGO NRG XZ AMT,Tata,2023,Petrol,"2,370",Automatic,₹8.09 Lakh,Bangalore
Maruti Dzire VXI,Dzire VXI,Maruti,2018,Petrol,"38,445",Manual,₹6.82 Lakh,Bangalore
Maruti Alto K10 VXI PLUS,Alto K10 VXI PLUS,Maruti,2022,Petrol,"13,847",Manual,₹5.11 Lakh,Bangalore
Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,Grand i10 ASTA AT 1.2 KAPPA VTVT,Hyundai,2016,Petrol,"93,065",Automatic,₹4.71 Lakh,Bangalore
Hyundai Xcent S 1.2,Xcent S 1.2,Hyundai,2014,Petrol,"72,810",Manual,₹4.09 Lakh,Bangalore
Hyundai Creta SX AT 1.6 PETROL,Creta SX AT 1.6 PETROL,Hyundai,2019,Petrol,"6,606",Automatic,₹12.40 Lakh,Bangalore
Hyundai VENUE S+ 1.2,VENUE S+ 1.2,Hyundai,2022,Petrol,"33,680",Manual,₹8.55 Lakh,Bangalore
Tata TIAGO NRG XZ AMT,TIAGO NRG XZ AMT,Tata,2023,Petrol,"7,402",Automatic,₹7.96 Lakh,Bangalore
Maruti Ertiga ZXI SHVS,Ertiga ZXI SHVS,Maruti,2023,Petrol,"7,989",Manual,₹11.79 Lakh,Bangalore
Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,Hyundai,2020,Petrol,"17,849",Manual,₹5.96 Lakh,Bangalore
Honda City 1.5L I-VTEC S MT,City 1.5L I-VTEC S MT,Honda,2013,Petrol,"41,334",Manual,₹4.73 Lakh,Bangalore
Renault Kwid RXT 1.0,Kwid RXT 1.0,Renault,2023,Petrol,"1,994",Manual,₹5.92 Lakh,Bangalore
Maruti Baleno DELTA CVT PETROL 1.2,Baleno DELTA CVT PETROL 1.2,Maruti,2016,Petrol,"62,524",Automatic,₹6.03 Lakh,Bangalore
Skoda Rapid 1.6 MPI STYLE AT,Rapid 1.6 MPI STYLE AT,Skoda,2016,Petrol,"35,390",Automatic,₹7.22 Lakh,Bangalore
Maruti Swift ZXI PLUS AMT,Swift ZXI PLUS AMT,Maruti,2020,Petrol,"38,807",Automatic,₹7.42 Lakh,Bangalore
Datsun Redi Go T(O) 1.0 AMT,Redi Go T(O) 1.0 AMT,Datsun,2018,Petrol,"44,972",Automatic,₹3.25 Lakh,Bangalore
Maruti Swift VXI,Swift VXI,Maruti,2015,Petrol,"74,874",Manual,₹4.84 Lakh,Bangalore
Renault Kwid RXT 1.0 (O),Kwid RXT 1.0 (O),Renault,2020,Petrol,"87,693",Manual,₹4.36 Lakh,Bangalore
Maruti Baleno RS 1.0 PETROL,Baleno RS 1.0 PETROL,Maruti,2017,Petrol,"36,274",Manual,₹6.70 Lakh,Bangalore
